Names, Status, Location, Laps, Total Laps, Battery, Active Time, Idle Time, Return Time
Anders, Charging, 3, 0, 0, 7.00, 2.93596220016, 19.0073599815, 91.3962020874
Anders, Patrolling, 3, 0, 0, 7.00, 2.93596220016, 19.0073599815, 91.3962020874
