Names, Status, Location, Laps, Total Laps, Battery, Active Time, Idle Time, Return Time
Anders, Patrolling, 0, 9, 10, 0.00, 174.293931007, 19.272824049, 0
Caval, Charging, 3, 0, 0, 0.00, 41.8837089539, 189.969789028, 44.4718909264
Caval, Patrolling, 3, 0, 0, 0.00, 41.8837089539, 189.969789028, 44.4718909264
Boomer, Patrolling, 1, 9, 10, 0.00, 200.583415985, 93.5499179363, 0
Anders, Patrolling, 0, 9, 20, 0.00, 309.517947912, 19.272824049, 0
Caprica, Patrolling, 2, 9, 10, 0.00, 189.482635975, 150.344816923, 0
Hera, Patrolling, 5, 2, 2, 0.00, 0, 307.510997057, 0
Leoben, Patrolling, 4, 2, 2, 0.00, 0, 366.164773226, 0
Boomer, Patrolling, 1, 9, 20, 0.00, 365.575093985, 93.5499179363, 0
Anders, Patrolling, 0, 9, 30, 0.00, 456.752183914, 19.272824049, 0
Caprica, Patrolling, 2, 9, 20, 0.00, 373.452974081, 150.344816923, 0
Hera, Patrolling, 6, 9, 12, 0.00, 306.606168985, 307.510997057, 0
Boomer, Patrolling, 1, 9, 30, 0.00, 521.417378187, 93.5499179363, 0
Anders, Patrolling, 0, 9, 40, 0.00, 602.144942045, 19.272824049, 0
Leoben, Patrolling, 5, 9, 12, 0.00, 257.62813282, 366.164773226, 0
Sharon, Patrolling, 4, 9, 10, 0.00, 158.122364044, 492.593312979, 0
Caprica, Patrolling, 2, 9, 30, 0.00, 540.113256931, 150.344816923, 0
Sharon, Patrolling, 4, 9, 20, 0.00, 207.538986921, 492.593312979, 0
Boomer, Patrolling, 1, 9, 40, 0.00, 629.54195118, 93.5499179363, 0
Anders, Patrolling, 0, 5, 45, 0.00, 602.144942045, 19.272824049, 0
Boomer, Patrolling, 1, 0, 40, 0.00, 629.54195118, 93.5499179363, 0
Sharon, Patrolling, 4, 9, 30, 0.00, 255.166810036, 492.593312979, 0
Anders, Charging, 3, 5, 50, 0.00, 714.387144089, 19.272824049, 57.5086419582
Hera, Patrolling, 6, 9, 22, 0.00, 483.720309973, 307.510997057, 0
Boomer, Patrolling, 0, 0, 40, 0.00, 629.54195118, 93.5499179363, 0
Leoben, Patrolling, 5, 9, 22, 0.00, 427.389237881, 366.164773226, 0
Sharon, Patrolling, 4, 9, 40, 0.00, 301.286962986, 492.593312979, 0
Caprica, Patrolling, 2, 4, 34, 0.00, 540.113256931, 150.344816923, 0
Boomer, Charging, 3, 0, 40, 0.00, 699.616835117, 93.5499179363, 47.5626170635
Caprica, Patrolling, 1, 2, 36, 0.00, 540.113256931, 150.344816923, 0
Caprica, Patrolling, 0, 0, 36, 0.00, 540.113256931, 150.344816923, 0
Tigh, Patrolling, 2, 2, 2, 0.00, 0, 847.270534039, 0
Caprica, Charging, 3, 0, 36, 0.00, 735.065599918, 150.344816923, 57.3985359669
Tigh, Patrolling, 1, 5, 7, 0.00, 0, 847.270534039, 0
Hera, Patrolling, 6, 9, 32, 0.00, 659.244993925, 307.510997057, 0
Leoben, Patrolling, 5, 9, 32, 0.00, 617.816176891, 366.164773226, 0
Tigh, Charging, 3, 0, 7, 0.00, 121.102102041, 847.270534039, 45.1337571144
Tigh, Patrolling, 3, 0, 7, 0.00, 121.102102041, 847.270534039, 45.1337571144
Tory, Patrolling, 2, 4, 4, 0.00, 0, 937.300055027, 0
Hera, Patrolling, 6, 3, 35, 0.00, 659.244993925, 307.510997057, 0
Hera, Charging, 3, 3, 38, 0.00, 732.209725857, 307.510997057, 56.0194480419
Leoben, Patrolling, 5, 4, 36, 0.00, 617.816176891, 366.164773226, 0
Tory, Patrolling, 1, 3, 7, 0.00, 0, 937.300055027, 0
Leoben, Charging, 3, 4, 40, 0.00, 734.460672855, 366.164773226, 32.279282093
Tyrol, Patrolling, 2, 2, 2, 0.00, 0, 1082.25915599, 0
Tory, Patrolling, 0, 9, 17, 0.00, 354.888388872, 937.300055027, 0
Tyrol, Patrolling, 1, 9, 12, 0.00, 271.62086606, 1082.25915599, 0
Caval, Patrolling, 2, 9, 10, 0.00, 208.682183027, 1115.63679814, 44.4718909264
Tory, Patrolling, 0, 9, 27, 0.00, 531.695352793, 937.300055027, 0
Tyrol, Patrolling, 1, 9, 22, 0.00, 411.040576935, 1082.25915599, 0
Caval, Patrolling, 2, 9, 20, 0.00, 355.041790962, 1115.63679814, 44.4718909264
Tory, Patrolling, 0, 9, 37, 0.00, 717.442813635, 937.300055027, 0
Tory, Patrolling, 0, 1, 38, 0.00, 717.442813635, 937.300055027, 0
Caval, Patrolling, 2, 9, 30, 0.00, 524.892879963, 1115.63679814, 44.4718909264
Tyrol, Patrolling, 1, 9, 32, 0.00, 603.488142967, 1082.25915599, 0
Tory, Charging, 3, 1, 39, 0.00, 740.376512766, 937.300055027, 47.6708910465
Tyrol, Patrolling, 1, 4, 36, 0.00, 603.488142967, 1082.25915599, 0
Tyrol, Charging, 3, 4, 40, 0.00, 697.990037918, 1082.25915599, 33.2553730011
Caval, Patrolling, 2, 9, 40, 0.00, 663.399804831, 1115.63679814, 44.4718909264
Caval, Patrolling, 2, 5, 45, 0.00, 663.399804831, 1115.63679814, 44.4718909264
Caval, Charging, 3, 5, 50, 0.00, 747.840429783, 1115.63679814, 66.5714018345
Sharon, Patrolling, 4, 7, 47, 0.00, 301.286962986, 492.593312979, 0
Sharon, Charging, 3, 0, 47, 0.00, 4848.17776704, 492.593312979, 18.5834298134
Sharon, Patrolling, 3, 0, 47, 0.00, 4848.17776704, 492.593312979, 18.5834298134
Anders, Patrolling, 4, 0, 50, 0.00, 714.387144089, 4618.20565104, 57.5086419582
Caprica, Patrolling, 2, 0, 36, 0.00, 735.065599918, 4698.02223206, 57.3985359669
Caprica, Patrolling, 1, 2, 38, 0.00, 735.065599918, 4698.02223206, 57.3985359669
Anders, Patrolling, 5, 9, 60, 0.00, 900.60001111, 4618.20565104, 57.5086419582
Tigh, Patrolling, 2, 1, 8, 0.00, 121.102102041, 5383.1454649, 45.1337571144
Boomer, Patrolling, 4, 9, 50, 0.00, 843.329576254, 4704.81278396, 47.5626170635
Anders, Patrolling, 5, 4, 64, 0.00, 900.60001111, 4618.20565104, 57.5086419582
Boomer, Patrolling, 4, 6, 56, 0.00, 843.329576254, 4704.81278396, 47.5626170635
Caprica, Patrolling, 0, 9, 48, 0.00, 974.430198908, 4698.02223206, 57.3985359669
Tigh, Patrolling, 1, 9, 18, 0.00, 328.566287041, 5383.1454649, 45.1337571144
Hera, Patrolling, 2, 9, 48, 0.00, 898.353197813, 4846.5652051, 56.0194480419
Anders, Patrolling, 6, 9, 74, 0.00, 1190.52150917, 4618.20565104, 57.5086419582
Boomer, Patrolling, 5, 9, 66, 0.00, 1115.44263124, 4704.81278396, 47.5626170635
Caprica, Patrolling, 0, 9, 58, 0.00, 1119.43653297, 4698.02223206, 57.3985359669
Leoben, Patrolling, 4, 9, 50, 0.00, 907.533291817, 4979.54929519, 32.279282093
Tigh, Patrolling, 1, 9, 28, 0.00, 503.036481142, 5383.1454649, 45.1337571144
Hera, Patrolling, 2, 9, 58, 0.00, 1071.14856672, 4846.5652051, 56.0194480419
Caprica, Patrolling, 0, 9, 68, 0.00, 1263.46476197, 4698.02223206, 57.3985359669
Anders, Patrolling, 6, 9, 84, 0.00, 1363.32673335, 4618.20565104, 57.5086419582
Tigh, Patrolling, 1, 9, 38, 0.00, 621.349997044, 5383.1454649, 45.1337571144
