Names, Status, Location, Laps, Total Laps, Battery, Active Time, Idle Time, Return Time
Boomer, Patrolling, 1, 9, 10, 7.00, 185.081976891, 95.3051459789, 0
Anders, Patrolling, 0, 9, 10, 7.00, 270.34772706, 18.9571230412, 0
Caprica, Patrolling, 2, 9, 10, 7.00, 210.698159933, 151.832598925, 0
Caval, Patrolling, 6, 9, 10, 7.00, 217.742078066, 191.662480116, 0
Hera, Charging, 3, 0, 0, 7.00, 23.2981441021, 271.366827965, 160.392959118
Hera, Patrolling, 3, 0, 0, 7.00, 23.2981441021, 271.366827965, 160.392959118
Anders, Patrolling, 0, 9, 20, 7.00, 470.877643108, 18.9571230412, 0
Leoben, Patrolling, 4, 0, 0, 7.00, 0, 486.653311968, 0
Caprica, Patrolling, 2, 9, 20, 7.00, 383.832274914, 151.832598925, 0
Boomer, Patrolling, 1, 9, 20, 7.00, 442.225500822, 95.3051459789, 0
Caval, Patrolling, 6, 9, 20, 7.00, 405.76613307, 191.662480116, 0
Anders, Patrolling, 0, 9, 30, 7.00, 634.319244146, 18.9571230412, 0
Boomer, Patrolling, 1, 9, 30, 7.00, 562.826886892, 95.3051459789, 0
Leoben, Patrolling, 5, 9, 10, 7.00, 199.652288914, 486.653311968, 0
Caprica, Patrolling, 2, 9, 30, 7.00, 580.629873037, 151.832598925, 0
Sharon, Patrolling, 4, 9, 10, 7.00, 197.754090071, 548.642989159, 0
Caval, Patrolling, 6, 9, 30, 7.00, 578.395863056, 191.662480116, 0
Boomer, Patrolling, 1, 9, 40, 7.00, 720.919972897, 95.3051459789, 0
Anders, Patrolling, 0, 9, 40, 7.00, 817.875219107, 18.9571230412, 0
Leoben, Patrolling, 5, 9, 20, 7.00, 359.951442957, 486.653311968, 0
Caval, Patrolling, 6, 9, 40, 7.00, 735.230931044, 191.662480116, 0
Sharon, Patrolling, 4, 9, 20, 7.00, 380.822473049, 548.642989159, 0
Caprica, Patrolling, 2, 9, 40, 7.00, 799.435668945, 151.832598925, 0
Boomer, Patrolling, 1, 9, 50, 7.00, 909.892001867, 95.3051459789, 0
Anders, Patrolling, 0, 9, 50, 7.00, 996.299845219, 18.9571230412, 0
