Names, Status, Location, Laps, Total Laps, Battery, Active Time, Idle Time, Return Time
Anders, Patrolling, 0, 9, 10, 0.00, 198.837491989, 19.4886710644, 0
Boomer, Patrolling, 1, 9, 10, 0.00, 171.381280899, 94.0542728901, 0
Caprica, Patrolling, 2, 9, 10, 0.00, 159.644340992, 151.790525198, 0
Boomer, Patrolling, 1, 9, 20, 0.00, 282.370528936, 94.0542728901, 0
Caval, Patrolling, 6, 9, 10, 0.00, 202.876717091, 192.205764055, 0
Anders, Patrolling, 0, 9, 20, 0.00, 388.870790958, 19.4886710644, 0
Hera, Patrolling, 5, 9, 10, 0.00, 177.714941978, 269.511768818, 0
Leoben, Patrolling, 4, 9, 10, 0.00, 153.465649843, 327.596424103, 0
Caprica, Patrolling, 2, 9, 20, 0.00, 337.929633141, 151.790525198, 0
Anders, Patrolling, 0, 9, 30, 0.00, 523.897379875, 19.4886710644, 0
Boomer, Patrolling, 1, 9, 30, 0.00, 452.585058928, 94.0542728901, 0
Caval, Patrolling, 6, 9, 20, 0.00, 375.900930166, 192.205764055, 0
Leoben, Patrolling, 4, 9, 20, 0.00, 293.03775692, 327.596424103, 0
Hera, Patrolling, 5, 9, 20, 0.00, 374.302638054, 269.511768818, 0
Caprica, Patrolling, 2, 9, 30, 0.00, 522.225590944, 151.790525198, 0
Boomer, Patrolling, 1, 9, 40, 0.00, 588.645066023, 94.0542728901, 0
Anders, Patrolling, 0, 9, 40, 0.00, 670.359502077, 19.4886710644, 0
Caval, Patrolling, 6, 9, 30, 0.00, 518.812089205, 192.205764055, 0
Hera, Patrolling, 5, 9, 30, 0.00, 524.636904955, 269.511768818, 0
Leoben, Patrolling, 4, 9, 30, 0.00, 469.943672895, 327.596424103, 0
Boomer, Patrolling, 1, 9, 50, 0.00, 719.055114985, 94.0542728901, 0
Caprica, Patrolling, 2, 9, 40, 0.00, 686.490010977, 151.790525198, 0
Anders, Patrolling, 0, 9, 50, 0.00, 841.464042187, 19.4886710644, 0
Caval, Patrolling, 6, 9, 40, 0.00, 682.97900629, 192.205764055, 0
Caval, Patrolling, 6, 9, 50, 0.00, 727.338365316, 192.205764055, 0
Leoben, Patrolling, 4, 9, 40, 0.00, 612.17441678, 327.596424103, 0
Boomer, Patrolling, 1, 9, 60, 0.00, 855.227822065, 94.0542728901, 0
Caprica, Patrolling, 2, 9, 50, 0.00, 802.723464012, 151.790525198, 0
Caval, Patrolling, 6, 9, 60, 0.00, 767.579794407, 192.205764055, 0
Hera, Patrolling, 5, 9, 40, 0.00, 705.345590115, 269.511768818, 0
Anders, Patrolling, 0, 9, 60, 0.00, 962.191897154, 19.4886710644, 0
Caval, Patrolling, 6, 9, 70, 0.00, 808.37808919, 192.205764055, 0
Caval, Patrolling, 6, 9, 80, 0.00, 850.248531342, 192.205764055, 0
Leoben, Patrolling, 4, 9, 50, 0.00, 755.297466755, 327.596424103, 0
Boomer, Patrolling, 1, 9, 70, 0.00, 992.805191994, 94.0542728901, 0
Caval, Patrolling, 6, 9, 90, 0.00, 898.372844458, 192.205764055, 0
Caprica, Patrolling, 2, 9, 60, 0.00, 951.572025061, 151.790525198, 0
Hera, Patrolling, 5, 9, 50, 0.00, 864.847388029, 269.511768818, 0
Caval, Patrolling, 6, 9, 100, 0.00, 968.86291647, 192.205764055, 0
Boomer, Patrolling, 1, 9, 80, 0.00, 1084.87020397, 94.0542728901, 0
Anders, Patrolling, 0, 9, 70, 0.00, 1170.41141129, 19.4886710644, 0
Caprica, Patrolling, 2, 9, 70, 0.00, 1059.75921297, 151.790525198, 0
Boomer, Patrolling, 1, 9, 90, 0.00, 1126.52186799, 94.0542728901, 0
Caval, Patrolling, 6, 9, 110, 0.00, 1052.30727744, 192.205764055, 0
Leoben, Patrolling, 4, 9, 60, 0.00, 925.257598639, 327.596424103, 0
Boomer, Patrolling, 1, 9, 100, 0.00, 1171.26200509, 94.0542728901, 0
Caval, Patrolling, 6, 9, 120, 0.00, 1096.80456734, 192.205764055, 0
Hera, Patrolling, 5, 9, 60, 0.00, 1019.99602509, 269.511768818, 0
