Names,Status,Location,Laps,TotalLaps,Battery,ActiveTime,IdleTime,ReturnTime
Anders,Patrolling,0,9,10,0.00,216.679288864,18.9361431599,0
Boomer,Patrolling,1,9,10,0.00,191.661486864,92.6874010563,0
Caprica,Patrolling,2,9,10,0.00,185.471890926,148.344678164,0
Caval,Patrolling,6,9,10,0.00,171.311393023,187.91515708,0
Anders,Patrolling,0,9,20,0.00,357.207736731,18.9361431599,0
Boomer,Patrolling,1,9,20,0.00,335.384579897,92.6874010563,0
Hera,Patrolling,5,9,10,0.00,185.794851065,264.482300997,0
Caprica,Patrolling,2,9,20,0.00,324.326822758,148.344678164,0
Leoben,Patrolling,4,9,10,0.00,152.942869902,323.05588913,0
Caval,Patrolling,6,9,20,0.00,341.163664103,187.91515708,0
Anders,Patrolling,0,9,30,0.00,514.905064821,18.9361431599,0
Hera,Patrolling,5,9,20,0.00,327.474236965,264.482300997,0
Leoben,Patrolling,4,9,20,0.00,271.629318953,323.05588913,0
Boomer,Patrolling,1,9,30,0.00,502.295907021,92.6874010563,0
Caprica,Patrolling,2,9,30,0.00,459.155702829,148.344678164,0
Caval,Patrolling,6,9,30,0.00,477.464089155,187.91515708,0
Leoben,Patrolling,4,9,30,0.00,368.427164078,323.05588913,0
Anders,Patrolling,0,9,40,0.00,677.436059713,18.9361431599,0
Anders,Patrolling,0,0,40,0.00,677.436059713,18.9361431599,0
Hera,Patrolling,5,9,30,0.00,433.287497997,264.482300997,0
Boomer,Patrolling,1,7,37,0.00,502.295907021,92.6874010563,0
Caprica,Patrolling,2,4,34,0.00,459.155702829,148.344678164,0
Anders,Charging,3,0,40,0.00,677.43632865,18.9361431599,56.9588820934
Boomer,Patrolling,0,2,39,0.00,502.295907021,92.6874010563,0
Caprica,Patrolling,1,3,37,0.00,459.155702829,148.344678164,0
Boomer,Charging,3,2,41,0.00,683.483008146,92.6874010563,56.9990570545
Caval,Patrolling,6,9,40,0.00,645.581273317,187.91515708,0
Leoben,Patrolling,4,9,40,0.00,527.565706015,323.05588913,0
Caprica,Charging,3,0,37,0.00,677.71676898,148.344678164,45.505931139
Caval,Patrolling,6,2,42,0.00,645.581273317,187.91515708,0
Caprica,Patrolling,3,0,37,0.00,677.71676898,148.344678164,45.505931139
Hera,Patrolling,5,9,40,0.00,625.804941177,264.482300997,0
Sharon,Patrolling,2,6,6,0.00,0,777.575098038,0
Caval,Charging,3,2,44,0.00,692.335038424,187.91515708,46.3761210442
Leoben,Patrolling,4,9,50,0.00,614.349296093,323.05588913,0
Hera,Patrolling,5,6,46,0.00,625.804941177,264.482300997,0
Sharon,Patrolling,1,3,9,0.00,0,777.575098038,0
Tigh,Patrolling,2,1,1,0.00,0,949.675511122,0
Hera,Charging,3,6,52,0.00,697.16747427,264.482300997,41.6591131687
Leoben,Patrolling,4,8,58,0.00,614.349296093,323.05588913,0
Leoben,Patrolling,5,0,58,0.00,614.349296093,323.05588913,0
Sharon,Patrolling,0,9,19,0.00,347.651602983,777.575098038,0
Leoben,Charging,3,0,58,0.00,773.51128602,323.05588913,41.4416379929
Boomer,Patrolling,4,0,41,0.00,683.483008146,377.464669943,56.9990570545
Tigh,Patrolling,1,9,11,0.00,205.123975992,949.675511122,0
Anders,Patrolling,2,9,50,0.00,833.273549557,306.279901028,56.9588820934
Boomer,Patrolling,5,2,43,0.00,683.483008146,377.464669943,56.9990570545
Caprica,Patrolling,4,5,42,0.00,677.71676898,479.331620216,45.505931139
Tigh,Patrolling,1,9,21,0.00,339.087277889,949.675511122,0
Sharon,Patrolling,0,9,29,0.00,516.095903873,777.575098038,0
Anders,Patrolling,2,9,60,0.00,987.944602489,306.279901028,56.9588820934
