Names, Status, Location, Laps, Total Laps, Battery, Active Time, Idle Time, Return Time
Anders, Charging, 3, 0, 0, 0.00, 3.00661993027, 19.210036993, 21.3741130829
Anders, Patrolling, 3, 0, 0, 0.00, 3.00661993027, 19.210036993, 21.3741130829
Boomer, Patrolling, 1, 9, 10, 0.00, 193.241547108, 73.027107954, 0
Caprica, Patrolling, 2, 9, 10, 0.00, 181.697328806, 128.449795961, 0
Boomer, Patrolling, 1, 4, 14, 0.00, 193.241547108, 73.027107954, 0
Caval, Patrolling, 6, 9, 10, 0.00, 164.829008818, 167.442610025, 0
Caprica, Patrolling, 2, 2, 12, 0.00, 181.697328806, 128.449795961, 0
Caval, Patrolling, 6, 9, 20, 0.00, 205.123314857, 167.442610025, 0
Caval, Patrolling, 6, 9, 30, 0.00, 249.173931837, 167.442610025, 0
Hera, Patrolling, 5, 9, 10, 0.00, 177.824012995, 244.468203783, 0
Leoben, Patrolling, 4, 9, 10, 0.00, 124.229956865, 301.46856308, 0
Caval, Patrolling, 6, 9, 40, 0.00, 289.709619761, 167.442610025, 0
Caval, Patrolling, 6, 9, 50, 0.00, 330.205976963, 167.442610025, 0
Boomer, Patrolling, 0, 9, 24, 0.00, 442.910583973, 73.027107954, 0
Caprica, Patrolling, 1, 9, 22, 0.00, 400.286718845, 128.449795961, 0
Caval, Patrolling, 6, 9, 60, 0.00, 371.008733988, 167.442610025, 0
Hera, Patrolling, 5, 9, 20, 0.00, 317.868695974, 244.468203783, 0
Sharon, Patrolling, 2, 9, 10, 0.00, 160.222921848, 411.536561012, 0
Caval, Patrolling, 6, 9, 70, 0.00, 413.635104895, 167.442610025, 0
Leoben, Patrolling, 4, 9, 20, 0.00, 284.298827887, 301.46856308, 0
Caval, Patrolling, 6, 9, 80, 0.00, 457.789063931, 167.442610025, 0
Caval, Patrolling, 6, 9, 90, 0.00, 502.794742823, 167.442610025, 0
Caprica, Patrolling, 1, 9, 32, 0.00, 563.315447807, 128.449795961, 0
Boomer, Patrolling, 0, 9, 34, 0.00, 632.671503782, 73.027107954, 0
Caval, Patrolling, 6, 9, 100, 0.00, 545.064868927, 167.442610025, 0
Sharon, Patrolling, 2, 9, 20, 0.00, 302.013998985, 411.536561012, 0
Hera, Patrolling, 5, 9, 30, 0.00, 482.137699127, 244.468203783, 0
Leoben, Patrolling, 4, 9, 30, 0.00, 444.439044952, 301.46856308, 0
Caval, Patrolling, 6, 9, 110, 0.00, 589.384121895, 167.442610025, 0
Caval, Patrolling, 6, 9, 120, 0.00, 635.444084883, 167.442610025, 0
Leoben, Patrolling, 4, 9, 40, 0.00, 543.634618044, 301.46856308, 0
Caval, Patrolling, 6, 9, 130, 0.00, 680.099996805, 167.442610025, 0
Sharon, Patrolling, 2, 9, 30, 0.00, 443.299556971, 411.536561012, 0
Caprica, Patrolling, 1, 9, 42, 0.00, 735.446038961, 128.449795961, 0
Boomer, Patrolling, 0, 9, 44, 0.00, 803.905627966, 73.027107954, 0
Caval, Patrolling, 6, 9, 140, 0.00, 720.715549946, 167.442610025, 0
Hera, Patrolling, 5, 9, 40, 0.00, 645.46415925, 244.468203783, 0
Caval, Patrolling, 6, 9, 150, 0.00, 762.435963869, 167.442610025, 0
Leoben, Patrolling, 4, 9, 50, 0.00, 665.508200884, 301.46856308, 0
Caval, Patrolling, 6, 9, 160, 0.00, 803.958640814, 167.442610025, 0
Caprica, Patrolling, 1, 9, 52, 0.00, 864.251931906, 128.449795961, 0
Hera, Patrolling, 5, 9, 50, 0.00, 756.090013027, 244.468203783, 0
Caval, Patrolling, 6, 9, 170, 0.00, 845.92073679, 167.442610025, 0
Sharon, Patrolling, 2, 9, 40, 0.00, 615.761693001, 411.536561012, 0
Boomer, Patrolling, 0, 9, 54, 0.00, 974.068258047, 73.027107954, 0
Caval, Patrolling, 6, 9, 180, 0.00, 886.241108894, 167.442610025, 0
Caval, Patrolling, 6, 9, 190, 0.00, 930.580209732, 167.442610025, 0
Hera, Patrolling, 5, 9, 60, 0.00, 894.90715313, 244.468203783, 0
Caval, Patrolling, 6, 9, 200, 0.00, 973.772213936, 167.442610025, 0
Sharon, Patrolling, 2, 9, 50, 0.00, 752.616168976, 411.536561012, 0
Caprica, Patrolling, 1, 9, 62, 0.00, 1053.39801693, 128.449795961, 0
Caval, Patrolling, 6, 9, 210, 0.00, 1015.59709692, 167.442610025, 0
Leoben, Patrolling, 4, 9, 60, 0.00, 882.670835018, 301.46856308, 0
Boomer, Patrolling, 0, 9, 64, 0.00, 1141.28104711, 73.027107954, 0
Caval, Patrolling, 6, 9, 220, 0.00, 1059.03046584, 167.442610025, 0
Caval, Patrolling, 6, 9, 230, 0.00, 1101.82351089, 167.442610025, 0
Caval, Patrolling, 6, 9, 240, 0.00, 1143.95207095, 167.442610025, 0
Hera, Patrolling, 5, 9, 70, 0.00, 1072.44718528, 244.468203783, 0
Leoben, Patrolling, 4, 9, 70, 0.00, 1047.82055712, 301.46856308, 0
Boomer, Patrolling, 0, 9, 74, 0.00, 1278.9085362, 73.027107954, 0
Caval, Patrolling, 6, 9, 250, 0.00, 1186.01066399, 167.442610025, 0
Caprica, Patrolling, 1, 9, 72, 0.00, 1229.46861696, 128.449795961, 0
Sharon, Patrolling, 2, 9, 60, 0.00, 953.681808949, 411.536561012, 0
Caval, Patrolling, 6, 9, 260, 0.00, 1227.15150309, 167.442610025, 0
Caval, Patrolling, 6, 9, 270, 0.00, 1269.3902719, 167.442610025, 0
Hera, Patrolling, 5, 9, 80, 0.00, 1211.57320142, 244.468203783, 0
