Names, Status, Location, Laps, Total Laps, Battery, Active Time, Idle Time, Return Time
Anders, Patrolling, 5, 9, 10, 0.00, 178.533764839, 21.4988479614, 0
Boomer, Patrolling, 1, 9, 10, 0.00, 178.946578026, 77.7523210049, 0
Caval, Patrolling, 2, 9, 10, 0.00, 152.898691893, 174.202933073, 0
Anders, Patrolling, 5, 9, 20, 0.00, 333.623497009, 21.4988479614, 0
Caprica, Patrolling, 4, 9, 10, 0.00, 237.715119839, 135.634399176, 0
Boomer, Patrolling, 1, 9, 20, 0.00, 320.652081013, 77.7523210049, 0
Caval, Patrolling, 2, 9, 20, 0.00, 298.357740879, 174.202933073, 0
Anders, Patrolling, 5, 9, 30, 0.00, 478.485229015, 21.4988479614, 0
Boomer, Patrolling, 1, 9, 30, 0.00, 431.878285885, 77.7523210049, 0
Caprica, Patrolling, 4, 9, 20, 0.00, 381.280149937, 135.634399176, 0
Anders, Patrolling, 5, 6, 36, 0.00, 478.485229015, 21.4988479614, 0
Caprica, Patrolling, 4, 5, 25, 0.00, 381.280149937, 135.634399176, 0
Boomer, Patrolling, 1, 6, 36, 0.00, 431.878285885, 77.7523210049, 0
Anders, Charging, 3, 6, 42, 0.00, 588.604510069, 21.4988479614, 41.2799658775
Caval, Patrolling, 2, 9, 30, 0.00, 503.010513783, 174.202933073, 0
Boomer, Charging, 3, 6, 42, 0.00, 564.680711985, 77.7523210049, 42.9281129837
Caprica, Patrolling, 5, 3, 28, 0.00, 381.280149937, 135.634399176, 0
Caval, Patrolling, 2, 1, 31, 0.00, 503.010513783, 174.202933073, 0
Caprica, Charging, 3, 3, 31, 0.00, 566.026066065, 135.634399176, 32.1270170212
Caval, Patrolling, 1, 0, 31, 0.00, 503.010513783, 174.202933073, 0
Caval, Charging, 3, 0, 31, 0.00, 560.374743938, 174.202933073, 43.537966013
Hera, Patrolling, 4, 5, 5, 0.00, 0, 668.860395193, 0
Leoben, Patrolling, 2, 9, 10, 0.00, 159.618597031, 754.311312914, 0
Hera, Patrolling, 5, 9, 15, 0.00, 296.199620008, 668.860395193, 0
Leoben, Patrolling, 2, 9, 20, 0.00, 339.477447987, 754.311312914, 0
Hera, Patrolling, 5, 9, 25, 0.00, 464.025035143, 668.860395193, 0
Hera, Patrolling, 5, 4, 29, 0.00, 464.025035143, 668.860395193, 0
Leoben, Patrolling, 2, 9, 30, 0.00, 502.465867996, 754.311312914, 0
Hera, Charging, 3, 4, 33, 0.00, 562.279601097, 668.860395193, 41.506716013
Leoben, Patrolling, 2, 3, 33, 0.00, 502.465867996, 754.311312914, 0
Leoben, Charging, 3, 3, 36, 0.00, 556.537488937, 754.311312914, 21.9981300831
