Names, Status, Location, Laps, Total Laps, Battery, Active Time, Idle Time, Return Time
Anders, Patrolling, 0, 9, 10, 0.00, 225.695842981, 19.347481966, 0
Boomer, Patrolling, 1, 9, 10, 0.00, 192.955237865, 95.7855598927, 0
Caprica, Patrolling, 2, 9, 10, 0.00, 206.296310902, 152.554960012, 0
Leoben, Charging, 3, 0, 0, 0.00, 3.82813000679, 332.144560099, 29.4769492149
Leoben, Patrolling, 3, 0, 0, 0.00, 3.82813000679, 332.144560099, 29.4769492149
Caval, Patrolling, 6, 9, 10, 0.00, 249.567449808, 193.15535903, 0
Boomer, Patrolling, 1, 9, 20, 0.00, 348.091190815, 95.7855598927, 0
Anders, Patrolling, 0, 9, 20, 0.00, 428.964005947, 19.347481966, 0
Hera, Patrolling, 5, 9, 10, 0.00, 196.129208088, 272.791074991, 0
Caprica, Patrolling, 2, 9, 20, 0.00, 392.879113913, 152.554960012, 0
Sharon, Patrolling, 4, 9, 10, 0.00, 166.76451087, 397.970363855, 0
Caval, Patrolling, 6, 9, 20, 0.00, 402.322363853, 193.15535903, 0
Boomer, Patrolling, 1, 9, 30, 0.00, 523.801408768, 95.7855598927, 0
Hera, Patrolling, 5, 9, 20, 0.00, 359.496388197, 272.791074991, 0
Anders, Patrolling, 0, 9, 30, 0.00, 617.203840971, 19.347481966, 0
Caprica, Patrolling, 2, 9, 30, 0.00, 551.653939009, 152.554960012, 0
Boomer, Patrolling, 1, 9, 40, 0.00, 680.964954853, 95.7855598927, 0
Caval, Patrolling, 6, 9, 30, 0.00, 586.587715864, 193.15535903, 0
Hera, Patrolling, 5, 9, 30, 0.00, 508.443356037, 272.791074991, 0
Sharon, Patrolling, 4, 9, 20, 0.00, 386.399061918, 397.970363855, 0
Anders, Patrolling, 0, 9, 40, 0.00, 805.067023993, 19.347481966, 0
Caprica, Patrolling, 2, 9, 40, 0.00, 703.202923059, 152.554960012, 0
Caval, Patrolling, 6, 9, 40, 0.00, 772.465922832, 193.15535903, 0
Boomer, Patrolling, 1, 9, 50, 0.00, 877.652276993, 95.7855598927, 0
Sharon, Patrolling, 4, 9, 30, 0.00, 575.63232708, 397.970363855, 0
Anders, Patrolling, 0, 9, 50, 0.00, 991.780871868, 19.347481966, 0
Hera, Patrolling, 5, 9, 40, 0.00, 743.34001112, 272.791074991, 0
Caprica, Patrolling, 2, 9, 50, 0.00, 897.99655509, 152.554960012, 0
Caval, Patrolling, 6, 9, 50, 0.00, 906.685994864, 193.15535903, 0
Boomer, Patrolling, 1, 9, 60, 0.00, 1027.10664487, 95.7855598927, 0
Sharon, Patrolling, 4, 9, 40, 0.00, 726.628607035, 397.970363855, 0
Anders, Patrolling, 0, 9, 60, 0.00, 1112.16758895, 19.347481966, 0
Hera, Patrolling, 5, 9, 50, 0.00, 928.252087116, 272.791074991, 0
Caprica, Patrolling, 2, 9, 60, 0.00, 1088.53003693, 152.554960012, 0
Boomer, Patrolling, 1, 9, 70, 0.00, 1178.01837707, 95.7855598927, 0
Caval, Patrolling, 6, 9, 60, 0.00, 1097.05821395, 193.15535903, 0
Sharon, Patrolling, 4, 9, 50, 0.00, 909.66941905, 397.970363855, 0
Anders, Patrolling, 0, 9, 70, 0.00, 1336.73348713, 19.347481966, 0
Hera, Patrolling, 5, 9, 60, 0.00, 1111.02813411, 272.791074991, 0
Caval, Patrolling, 6, 9, 70, 0.00, 1221.59379792, 193.15535903, 0
Caprica, Patrolling, 2, 9, 70, 0.00, 1272.36769891, 152.554960012, 0
Boomer, Patrolling, 1, 9, 80, 0.00, 1360.34193993, 95.7855598927, 0
Caval, Patrolling, 6, 9, 80, 0.00, 1284.18670702, 193.15535903, 0
Anders, Patrolling, 0, 6, 76, 0.00, 1336.73348713, 19.347481966, 0
Boomer, Patrolling, 1, 3, 83, 0.00, 1360.34193993, 95.7855598927, 0
Caval, Patrolling, 6, 9, 90, 0.00, 1332.50156689, 193.15535903, 0
Hera, Patrolling, 5, 9, 70, 0.00, 1264.05849814, 272.791074991, 0
Anders, Charging, 3, 6, 82, 0.00, 1475.59127092, 19.347481966, 51.2385289669
Boomer, Charging, 3, 0, 83, 0.00, 1403.05540895, 95.7855598927, 47.4797058105
Sharon, Patrolling, 4, 9, 60, 0.00, 1153.56493688, 397.970363855, 0
Boomer, Patrolling, 3, 0, 83, 0.00, 1403.05540895, 95.7855598927, 47.4797058105
Caprica, Patrolling, 2, 5, 75, 0.00, 1272.36769891, 152.554960012, 0
Caval, Patrolling, 6, 9, 100, 0.00, 1379.1529398, 193.15535903, 0
Caval, Patrolling, 6, 9, 110, 0.00, 1423.82502961, 193.15535903, 0
