Names,Status,Location,Laps,TotalLaps,Battery,ActiveTime,IdleTime,ReturnTime
Tigh,Patrolling,2,9,10,7.00,202.536554098,2252.41466308,22.8066189289
Tigh,Patrolling,2,0,10,7.00,202.536554098,2252.41466308,22.8066189289
Sharon,Patrolling,0,9,36,7.00,652.800879002,1886.03281808,24.3551018238
Caval,Patrolling,5,9,113,7.00,2017.00123048,507.143948078,49.0877289772
Caval,Patrolling,5,1,114,7.00,2017.00123048,507.143948078,49.0877289772
Hera,Patrolling,4,2,100,7.00,1627.89081311,887.742095947,42.1261181831
Tigh,Patrolling,1,9,20,7.00,368.65449214,2252.41466308,22.8066189289
Boomer,Patrolling,2,9,98,7.00,1774.63866091,844.838151217,75.7448899746
Sharon,Patrolling,0,9,46,7.00,863.247200012,1886.03281808,24.3551018238
Caval,Patrolling,6,9,124,7.00,2261.44627643,507.143948078,49.0877289772
Tigh,Patrolling,1,9,30,7.00,556.504275084,2252.41466308,22.8066189289
Boomer,Patrolling,2,9,108,7.00,1933.64309287,844.838151217,75.7448899746
Hera,Patrolling,5,9,110,7.00,1925.53672409,887.742095947,42.1261181831
Anders,Patrolling,4,9,111,7.00,1974.068362,800.499513865,95.9384949207
Sharon,Patrolling,0,9,56,7.00,1011.86777186,1886.03281808,24.3551018238
Caval,Patrolling,6,9,134,7.00,2413.69432831,507.143948078,49.0877289772
Tigh,Patrolling,1,9,40,7.00,765.981559038,2252.41466308,22.8066189289
Boomer,Patrolling,2,9,118,7.00,2126.78105974,844.838151217,75.7448899746
Hera,Patrolling,5,9,120,7.00,2119.26959825,887.742095947,42.1261181831
Sharon,Patrolling,0,9,66,7.00,1161.41671085,1886.03281808,24.3551018238
Anders,Patrolling,4,9,121,7.00,2193.99695802,800.499513865,95.9384949207
Caval,Patrolling,6,9,144,7.00,2607.1158812,507.143948078,49.0877289772
Hera,Patrolling,5,9,130,7.00,2245.53030634,887.742095947,42.1261181831
Tigh,Patrolling,1,9,50,7.00,921.576014042,2252.41466308,22.8066189289
Boomer,Patrolling,2,9,128,7.00,2317.41952276,844.838151217,75.7448899746
Caval,Patrolling,6,9,154,7.00,2694.07156014,507.143948078,49.0877289772
Sharon,Patrolling,0,9,76,7.00,1346.00352073,1886.03281808,24.3551018238
Anders,Patrolling,4,9,131,7.00,2379.49226022,800.499513865,95.9384949207
Caval,Patrolling,6,9,164,7.00,2744.74186921,507.143948078,49.0877289772
Caval,Patrolling,6,9,174,7.00,2785.34711838,507.143948078,49.0877289772
Tigh,Patrolling,1,9,60,7.00,1076.16743708,2252.41466308,22.8066189289
Hera,Patrolling,5,9,140,7.00,2434.69960642,887.742095947,42.1261181831
Caval,Patrolling,6,9,184,7.00,2836.84203434,507.143948078,49.0877289772
Caval,Patrolling,6,9,194,7.00,2879.17864132,507.143948078,49.0877289772
Sharon,Patrolling,0,9,86,7.00,1532.79993868,1886.03281808,24.3551018238
Boomer,Patrolling,2,9,138,7.00,2552.4030726,844.838151217,75.7448899746
Caval,Patrolling,6,9,204,7.00,2921.0625062,507.143948078,49.0877289772
Anders,Patrolling,4,9,141,7.00,2598.22259116,800.499513865,95.9384949207
Sharon,Patrolling,0,1,87,-3.89,1532.79993868,1886.03281808,24.3551018238
Boomer,Patrolling,2,1,139,7.00,2552.4030726,844.838151217,75.7448899746
Hera,Patrolling,5,9,150,7.00,2596.80013943,887.742095947,42.1261181831
Caval,Patrolling,6,9,214,7.00,2971.31337118,507.143948078,49.0877289772
Tigh,Patrolling,1,8,68,7.00,1076.16743708,2252.41466308,22.8066189289
Sharon,Charging,3,1,88,-3008.62,1584.43217778,1886.03281808,73.7688179016
Caval,Patrolling,6,9,224,7.00,3014.60723305,507.143948078,49.0877289772
Caval,Patrolling,6,9,234,7.00,3060.61702299,507.143948078,49.0877289772
Anders,Patrolling,4,9,151,7.00,2756.074121,800.499513865,95.9384949207
Caval,Patrolling,6,9,244,7.00,3100.18958211,507.143948078,49.0877289772
Hera,Patrolling,5,9,160,7.00,2751.03148031,887.742095947,42.1261181831
Caval,Patrolling,6,9,254,7.00,3145.18691206,507.143948078,49.0877289772
Boomer,Patrolling,1,9,149,7.00,2793.35872364,844.838151217,75.7448899746
Tigh,Patrolling,0,9,78,7.00,1449.55404592,2252.41466308,22.8066189289
Tigh,Patrolling,0,2,80,4.11,1449.55404592,2252.41466308,22.8066189289
Boomer,Patrolling,1,3,152,7.00,2793.35872364,844.838151217,75.7448899746
Tigh,Charging,3,2,82,-3935.04,1494.58548284,2252.41466308,80.6183309555
Caprica,Patrolling,2,7,109,7.00,1928.80244827,1577.36737204,79.6505320072
Hera,Patrolling,5,9,170,7.00,2909.58849621,887.742095947,42.1261181831
Anders,Patrolling,4,9,161,7.00,2975.16599607,800.499513865,95.9384949207
Caval,Patrolling,6,9,264,7.00,3344.51732898,507.143948078,49.0877289772
Caval,Patrolling,6,0,264,-109.09,3344.51732898,507.143948078,49.0877289772
Boomer,Patrolling,0,9,162,7.00,3005.78391957,844.838151217,75.7448899746
Anders,Patrolling,4,5,166,7.00,2975.16599607,800.499513865,95.9384949207
Caval,Charging,3,0,264,-2057.50,3365.66663504,507.143948078,81.871201992
Hera,Patrolling,5,4,174,7.00,2909.58849621,887.742095947,42.1261181831
Caprica,Patrolling,1,9,119,7.00,2362.89873838,1577.36737204,79.6505320072
Anders,Patrolling,5,9,176,7.00,3143.76893997,800.499513865,95.9384949207
Leoben,Patrolling,2,9,94,7.00,1678.54391503,2334.92079806,50.1344838142
Boomer,Patrolling,0,7,169,-25.29,3005.78391957,844.838151217,75.7448899746
