Names, Status, Location, Laps, Total Laps, Battery, Active Time, Idle Time, Return Time
Anders, Patrolling, 0, 9, 10, 0.00, 215.153028011, 19.3649530411, 0
Boomer, Patrolling, 1, 9, 10, 0.00, 194.924587011, 93.8250610828, 0
Caprica, Patrolling, 2, 9, 10, 0.00, 194.811228991, 150.574257135, 0
Caval, Patrolling, 6, 9, 10, 0.00, 155.376705885, 190.537564993, 0
Anders, Patrolling, 0, 9, 20, 0.00, 334.05875206, 19.3649530411, 0
Boomer, Patrolling, 1, 9, 20, 0.00, 392.858258963, 93.8250610828, 0
Leoben, Patrolling, 4, 9, 10, 0.00, 163.882894039, 325.49992609, 0
Hera, Patrolling, 5, 9, 10, 0.00, 222.955812216, 267.118841887, 0
Caprica, Patrolling, 2, 9, 20, 0.00, 350.513060808, 150.574257135, 0
Caval, Patrolling, 6, 9, 20, 0.00, 320.016051054, 190.537564993, 0
Anders, Patrolling, 0, 9, 30, 0.00, 505.331109285, 19.3649530411, 0
Hera, Patrolling, 5, 9, 20, 0.00, 340.230884314, 267.118841887, 0
Caval, Patrolling, 6, 9, 30, 0.00, 425.681586981, 190.537564993, 0
Boomer, Patrolling, 1, 9, 30, 0.00, 558.183435917, 93.8250610828, 0
Leoben, Patrolling, 4, 9, 20, 0.00, 333.272392988, 325.49992609, 0
Anders, Patrolling, 0, 9, 40, 0.00, 680.141823292, 19.3649530411, 0
Caprica, Patrolling, 2, 9, 30, 0.00, 564.815206766, 150.574257135, 0
Caval, Patrolling, 6, 9, 40, 0.00, 562.805563927, 190.537564993, 0
Anders, Patrolling, 0, 9, 50, 0.00, 794.090306282, 19.3649530411, 0
Hera, Patrolling, 5, 9, 30, 0.00, 548.122662306, 267.118841887, 0
Boomer, Patrolling, 1, 9, 40, 0.00, 724.946686029, 93.8250610828, 0
Caval, Patrolling, 6, 9, 50, 0.00, 654.656102896, 190.537564993, 0
Leoben, Patrolling, 4, 9, 30, 0.00, 528.867833853, 325.49992609, 0
Caprica, Patrolling, 2, 9, 40, 0.00, 715.5260427, 150.574257135, 0
