Names,Status,Location,Laps,TotalLaps,Battery,ActiveTime,IdleTime,ReturnTime
Anders,Patrolling,2,9,62,0.00,1065.20079446,302.180115938,47.3784089088
Caval,Patrolling,4,9,54,0.00,856.20801878,540.669974089,46.5130620003
Tigh,Patrolling,1,9,34,0.00,557.56629777,918.993087053,0
Sharon,Patrolling,0,6,43,0.00,591.996696949,792.531365871,0
Boomer,Patrolling,6,9,67,0.00,1090.64987922,368.401257038,47.5738539696
Anders,Patrolling,2,7,69,0.00,1065.20079446,302.180115938,47.3784089088
Sharon,Charging,3,6,49,0.00,710.657644987,792.531365871,47.5497410297
Tigh,Patrolling,1,3,37,0.00,557.56629777,918.993087053,0
Caprica,Patrolling,5,9,59,0.00,1119.29781032,384.722000122,56.9956059456
Tigh,Patrolling,0,0,37,0.00,557.56629777,918.993087053,0
Caval,Patrolling,4,9,64,0.00,1019.96301079,540.669974089,46.5130620003
Anders,Patrolling,1,4,73,0.00,1065.20079446,302.180115938,47.3784089088
Tigh,Charging,3,0,37,0.00,668.959050655,918.993087053,57.2364809513
Boomer,Patrolling,6,9,77,0.00,1234.67534709,368.401257038,47.5738539696
Hera,Patrolling,2,2,42,0.00,709.926166058,865.557285786,32.569257021
Caval,Patrolling,4,9,74,0.00,1125.84126759,540.669974089,46.5130620003
Anders,Patrolling,0,3,76,0.00,1065.20079446,302.180115938,47.3784089088
Hera,Patrolling,1,2,44,0.00,709.926166058,865.557285786,32.569257021
Caprica,Patrolling,5,9,69,0.00,1313.58426738,384.722000122,56.9956059456
Leoben,Patrolling,2,2,50,0.00,702.30072093,976.162112951,21.1612079144
Boomer,Patrolling,6,7,84,0.00,1234.67534709,368.401257038,47.5738539696
Anders,Charging,3,3,79,0.00,1372.74861646,302.180115938,104.88022089
Boomer,Charging,3,7,91,0.00,1354.5444932,368.401257038,94.9476728439
Caprica,Patrolling,5,5,74,0.00,1313.58426738,384.722000122,56.9956059456
Caprica,Patrolling,6,0,74,0.00,1313.58426738,384.722000122,56.9956059456
Caval,Patrolling,4,9,84,0.00,1295.98328161,540.669974089,46.5130620003
Caval,Patrolling,4,0,84,0.00,1295.98328161,540.669974089,46.5130620003
Caprica,Charging,3,0,74,0.00,1437.92296839,384.722000122,113.00164485
Hera,Patrolling,0,9,54,0.00,1038.35645008,865.557285786,32.569257021
Caval,Patrolling,5,4,88,0.00,1295.98328161,540.669974089,46.5130620003
Leoben,Patrolling,1,9,60,0.00,971.750726938,976.162112951,21.1612079144
Sharon,Patrolling,2,9,59,0.00,868.941718102,1061.63678408,47.5497410297
Caval,Patrolling,6,0,88,0.00,1295.98328161,540.669974089,46.5130620003
Tigh,Patrolling,4,4,41,0.00,668.959050655,1197.15877604,57.2364809513
Caval,Charging,3,0,88,0.00,1404.22555947,540.669974089,102.623049974
Hera,Patrolling,0,9,64,0.00,1177.83495998,865.557285786,32.569257021
Anders,Patrolling,4,0,79,0.00,1372.74861646,566.198058128,104.88022089
Leoben,Patrolling,1,9,70,0.00,1105.25785995,976.162112951,21.1612079144
Sharon,Patrolling,2,9,69,0.00,1006.20195222,1061.63678408,47.5497410297
Tigh,Patrolling,5,6,47,0.00,668.959050655,1197.15877604,57.2364809513
Hera,Patrolling,0,9,74,0.00,1332.07956791,865.557285786,32.569257021
Leoben,Patrolling,1,9,80,0.00,1240.18989587,976.162112951,21.1612079144
Sharon,Patrolling,2,9,79,0.00,1165.00674033,1061.63678408,47.5497410297
Anders,Patrolling,5,9,89,0.00,1606.90315056,566.198058128,104.88022089
Tigh,Patrolling,6,9,57,0.00,1057.37992382,1197.15877604,57.2364809513
Hera,Patrolling,0,4,78,0.00,1332.07956791,865.557285786,32.569257021
Leoben,Patrolling,1,4,84,0.00,1240.18989587,976.162112951,21.1612079144
Boomer,Patrolling,4,9,101,0.00,1532.39274812,721.651281118,94.9476728439
Hera,Charging,3,4,82,0.00,1416.56578684,865.557285786,79.5273740292
Sharon,Patrolling,2,4,83,0.00,1165.00674033,1061.63678408,47.5497410297
Leoben,Patrolling,0,2,86,0.00,1240.18989587,976.162112951,21.1612079144
Anders,Patrolling,5,9,99,0.00,1737.69651055,566.198058128,104.88022089
Leoben,Charging,3,2,88,0.00,1379.48788595,976.162112951,68.3481349945
Caprica,Patrolling,2,0,74,0.00,1437.92296839,862.471981049,113.00164485
Tigh,Patrolling,6,9,67,0.00,1224.41036201,1197.15877604,57.2364809513
Sharon,Patrolling,1,7,90,0.00,1165.00674033,1061.63678408,47.5497410297
Boomer,Patrolling,4,9,111,0.00,1673.38603926,721.651281118,94.9476728439
Sharon,Patrolling,0,0,90,0.00,1165.00674033,1061.63678408,47.5497410297
Anders,Patrolling,5,9,109,0.00,1849.25440359,566.198058128,104.88022089
Sharon,Charging,3,0,90,0.00,1406.19765639,1061.63678408,104.845144033
Caprica,Patrolling,1,7,81,0.00,1437.92296839,862.471981049,113.00164485
Caval,Patrolling,2,3,91,0.00,1404.22555947,1028.28214502,102.623049974
Tigh,Patrolling,6,8,75,0.00,1224.41036201,1197.15877604,57.2364809513
Boomer,Patrolling,4,9,121,0.00,1829.11070228,721.651281118,94.9476728439
Anders,Patrolling,5,9,119,0.00,1993.59832454,566.198058128,104.88022089
Tigh,Charging,3,8,83,0.00,1373.91593313,1197.15877604,103.700889826
Anders,Patrolling,5,0,119,0.00,1993.59832454,566.198058128,104.88022089
Caprica,Patrolling,0,9,91,0.00,1729.53912044,862.471981049,113.00164485
Boomer,Patrolling,4,2,123,0.00,1829.11070228,721.651281118,94.9476728439
Anders,Patrolling,6,2,121,0.00,1993.59832454,566.198058128,104.88022089
Caval,Patrolling,1,9,101,0.00,1638.38185143,1028.28214502,102.623049974
Hera,Patrolling,2,9,92,0.00,1546.44931984,1158.5721128,79.5273740292
Anders,Charging,3,2,123,0.00,2071.94358659,566.198058128,152.509438992
Boomer,Patrolling,5,3,126,0.00,1829.11070228,721.651281118,94.9476728439
Leoben,Patrolling,4,3,91,0.00,1379.48788595,1329.54444885,68.3481349945
Caprica,Patrolling,0,9,101,0.00,1859.57286358,862.471981049,113.00164485
Boomer,Patrolling,6,2,128,0.00,1829.11070228,721.651281118,94.9476728439
Leoben,Patrolling,5,2,93,0.00,1379.48788595,1329.54444885,68.3481349945
Boomer,Charging,3,2,130,0.00,2035.57408619,721.651281118,151.527454853
Caval,Patrolling,1,9,111,0.00,1792.63374138,1028.28214502,102.623049974
Sharon,Patrolling,4,3,93,0.00,1406.19765639,1359.17303205,104.845144033
Hera,Patrolling,2,9,102,0.00,1716.77416086,1158.5721128,79.5273740292
Caprica,Patrolling,0,9,111,0.00,2002.34337568,862.471981049,113.00164485
Caval,Patrolling,1,9,121,0.00,1898.2734735,1028.28214502,102.623049974
Leoben,Patrolling,6,9,103,0.00,1663.62734795,1329.54444885,68.3481349945
Hera,Patrolling,2,9,112,0.00,1851.88534093,1158.5721128,79.5273740292
Caprica,Patrolling,0,7,118,0.00,2002.34337568,862.471981049,113.00164485
Sharon,Patrolling,5,9,103,0.00,1652.60713053,1359.17303205,104.845144033
Caval,Patrolling,1,5,126,0.00,1898.2734735,1028.28214502,102.623049974
Hera,Patrolling,2,2,114,0.00,1851.88534093,1158.5721128,79.5273740292
Tigh,Patrolling,4,9,93,0.00,1535.87301207,1522.24213409,103.700889826
Caprica,Charging,3,7,125,0.00,2136.52807355,862.471981049,170.238957882
Caval,Patrolling,0,4,130,0.00,1898.2734735,1028.28214502,102.623049974
Anders,Patrolling,2,0,123,0.00,2071.94358659,971.305861235,152.509438992
Leoben,Patrolling,6,9,113,0.00,1828.58565593,1329.54444885,68.3481349945
Hera,Patrolling,1,3,117,0.00,1851.88534093,1158.5721128,79.5273740292
Sharon,Patrolling,5,9,113,0.00,1790.59367633,1359.17303205,104.845144033
Caval,Charging,3,4,134,0.00,2077.6905055,1028.28214502,159.774435043
Tigh,Patrolling,4,9,103,0.00,1723.39324212,1522.24213409,103.700889826
Hera,Patrolling,0,7,124,0.00,1851.88534093,1158.5721128,79.5273740292
Anders,Patrolling,1,9,133,0.00,2252.11693454,971.305861235,152.509438992
Anders,Patrolling,1,0,133,0.00,2252.11693454,971.305861235,152.509438992
Leoben,Patrolling,6,9,123,0.00,2000.38084507,1329.54444885,68.3481349945
Boomer,Patrolling,2,6,136,0.00,2035.57408619,1095.72029305,151.527454853
Hera,Charging,3,7,131,0.00,2126.10659194,1158.5721128,126.518843174
Sharon,Patrolling,5,9,123,0.00,1960.67015123,1359.17303205,104.845144033
Leoben,Patrolling,6,3,126,0.00,2000.38084507,1329.54444885,68.3481349945
Sharon,Patrolling,5,4,127,0.00,1960.67015123,1359.17303205,104.845144033
Tigh,Patrolling,4,9,113,0.00,1849.97705913,1522.24213409,103.700889826
Tigh,Patrolling,4,1,114,0.00,1849.97705913,1522.24213409,103.700889826
Leoben,Charging,3,3,129,0.00,2065.45766997,1329.54444885,124.983586073
Anders,Patrolling,0,9,143,0.00,2404.99174452,971.305861235,152.509438992
Boomer,Patrolling,1,9,146,0.00,2304.93342805,1095.72029305,151.527454853
Caprica,Patrolling,2,9,135,0.00,2265.88133264,1134.16295695,170.238957882
Sharon,Patrolling,6,5,132,0.00,1960.67015123,1359.17303205,104.845144033
Caval,Patrolling,4,1,135,0.00,2077.6905055,1300.41077495,159.774435043
Tigh,Patrolling,5,5,119,0.00,1849.97705913,1522.24213409,103.700889826
Sharon,Charging,3,5,137,0.00,2107.09243608,1359.17303205,151.668174982
Anders,Patrolling,0,9,153,0.00,2585.41865444,971.305861235,152.509438992
Tigh,Patrolling,6,4,123,0.00,1849.97705913,1522.24213409,103.700889826
Boomer,Patrolling,1,9,156,0.00,2469.43466401,1095.72029305,151.527454853
Caval,Patrolling,5,7,142,0.00,2077.6905055,1300.41077495,159.774435043
Caprica,Patrolling,2,9,145,0.00,2431.70345783,1134.16295695,170.238957882
Caval,Charging,3,0,142,0.00,2275.25632548,1300.41077495,193.286020994
Tigh,Charging,3,4,127,0.00,2089.54105806,1522.24213409,160.136092901
Caval,Patrolling,3,0,142,0.00,2275.25632548,1300.41077495,193.286020994
Hera,Patrolling,4,6,137,0.00,2126.10659194,1410.57033181,126.518843174
Anders,Patrolling,0,9,163,0.00,2722.88087845,971.305861235,152.509438992
Hera,Patrolling,5,3,140,0.00,2126.10659194,1410.57033181,126.518843174
Boomer,Patrolling,1,9,166,0.00,2606.26466703,1095.72029305,151.527454853
Leoben,Patrolling,4,2,131,0.00,2065.45766997,1641.12234282,124.983586073
Anders,Patrolling,0,2,165,0.00,2722.88087845,971.305861235,152.509438992
Caprica,Patrolling,2,9,155,0.00,2600.23176789,1134.16295695,170.238957882
Boomer,Patrolling,1,4,170,0.00,2606.26466703,1095.72029305,151.527454853
Anders,Charging,3,2,167,0.00,2778.74050951,971.305861235,200.557606936
Boomer,Patrolling,0,0,170,0.00,2606.26466703,1095.72029305,151.527454853
Caprica,Patrolling,2,5,160,0.00,2600.23176789,1134.16295695,170.238957882
Hera,Patrolling,6,9,150,0.00,2475.23573899,1410.57033181,126.518843174
Boomer,Charging,3,0,170,0.00,2727.85047889,1095.72029305,208.390060902
Caprica,Patrolling,1,3,163,0.00,2600.23176789,1134.16295695,170.238957882
Leoben,Patrolling,5,9,141,0.00,2325.4314239,1641.12234282,124.983586073
Caval,Patrolling,2,2,144,0.00,2275.25632548,1560.31562495,193.286020994
Sharon,Patrolling,4,9,147,0.00,2316.48319197,1664.25477505,151.668174982
Caprica,Patrolling,0,3,166,0.00,2600.23176789,1134.16295695,170.238957882
Hera,Patrolling,6,9,160,0.00,2642.41288805,1410.57033181,126.518843174
Caval,Patrolling,1,2,146,0.00,2275.25632548,1560.31562495,193.286020994
Caprica,Charging,3,3,169,0.00,2829.2044158,1134.16295695,227.486038685
Tigh,Patrolling,2,3,130,0.00,2089.54105806,1903.93641996,160.136092901
Leoben,Patrolling,5,9,151,0.00,2466.27084875,1641.12234282,124.983586073
Sharon,Patrolling,4,9,157,0.00,2444.17841911,1664.25477505,151.668174982
Hera,Patrolling,6,9,170,0.00,2777.87689304,1410.57033181,126.518843174
Caval,Patrolling,0,9,156,0.00,2596.80753255,1560.31562495,193.286020994
Hera,Patrolling,6,3,173,0.00,2777.87689304,1410.57033181,126.518843174
Leoben,Patrolling,5,8,159,0.00,2466.27084875,1641.12234282,124.983586073
Sharon,Patrolling,4,8,165,0.00,2444.17841911,1664.25477505,151.668174982
Hera,Charging,3,3,176,0.00,2829.16962099,1410.57033181,173.066470146
Tigh,Patrolling,1,9,140,0.00,2352.44323707,1903.93641996,160.136092901
Anders,Patrolling,2,9,177,0.00,2956.39468455,1294.64486742,200.557606936
Caval,Patrolling,0,9,166,0.00,2740.99832964,1560.31562495,193.286020994
Leoben,Patrolling,6,6,165,0.00,2466.27084875,1641.12234282,124.983586073
Boomer,Patrolling,4,4,174,0.00,2727.85047889,1497.11527395,208.390060902
Sharon,Patrolling,5,9,175,0.00,2732.02625728,1664.25477505,151.668174982
Leoben,Charging,3,6,171,0.00,2742.32232976,1641.12234282,171.296111107
Boomer,Charging,3,0,174,0.00,2819.46592879,1497.11527395,239.084167719
Boomer,Patrolling,3,0,174,0.00,2819.46592879,1497.11527395,239.084167719
Sharon,Patrolling,5,2,177,0.00,2732.02625728,1664.25477505,151.668174982
Tigh,Patrolling,1,9,150,0.00,2522.00765324,1903.93641996,160.136092901
Sharon,Charging,3,0,177,0.00,2772.88360929,1664.25477505,196.262867928
Caval,Patrolling,0,9,176,0.00,2883.65689874,1560.31562495,193.286020994
Sharon,Patrolling,3,0,177,0.00,2772.88360929,1664.25477505,196.262867928
Anders,Patrolling,2,9,187,0.00,3151.43894362,1294.64486742,200.557606936
Caprica,Patrolling,4,0,169,0.00,2829.2044158,1607.54989004,227.486038685
Caprica,Charging,3,0,169,0.00,2853.7329247,1607.54989004,258.318208694
Caprica,Patrolling,3,0,169,0.00,2853.7329247,1607.54989004,258.318208694
Caval,Patrolling,0,5,181,0.00,2883.65689874,1560.31562495,193.286020994
Tigh,Patrolling,1,9,160,0.00,2683.40222716,1903.93641996,160.136092901
Hera,Patrolling,4,0,176,0.00,2829.16962099,1749.12382174,173.066470146
Caval,Charging,3,5,186,0.00,2977.50915575,1560.31562495,240.227787018
Anders,Patrolling,2,9,197,0.00,3293.97578573,1294.64486742,200.557606936
Hera,Patrolling,5,2,178,0.00,2829.16962099,1749.12382174,173.066470146
Tigh,Patrolling,1,5,165,0.00,2683.40222716,1903.93641996,160.136092901
Leoben,Patrolling,4,2,173,0.00,2742.32232976,1898.54823375,171.296111107
Tigh,Charging,3,5,170,0.00,2777.71501803,1903.93641996,202.871439934
Anders,Patrolling,2,9,207,0.00,3428.39832354,1294.64486742,200.557606936
Anders,Patrolling,2,1,208,0.00,3428.39832354,1294.64486742,200.557606936
Anders,Patrolling,1,0,208,0.00,3428.39832354,1294.64486742,200.557606936
Anders,Charging,3,0,208,0.00,3478.11724544,1294.64486742,242.787743807
Hera,Patrolling,6,9,188,0.00,3109.163625,1749.12382174,173.066470146
Sharon,Patrolling,2,0,177,0.00,2772.88360929,2023.65903211,196.262867928
Leoben,Patrolling,5,9,183,0.00,2983.92575192,1898.54823375,171.296111107
Caprica,Patrolling,2,0,169,0.00,2853.7329247,1970.50513005,258.318208694
Sharon,Patrolling,1,5,182,0.00,2772.88360929,2023.65903211,196.262867928
Boomer,Patrolling,4,9,184,0.00,3020.50902677,1873.00751591,239.084167719
Leoben,Patrolling,5,9,193,0.00,3130.4850831,1898.54823375,171.296111107
Hera,Patrolling,6,9,198,0.00,3278.55736709,1749.12382174,173.066470146
Sharon,Patrolling,0,9,192,0.00,2999.86935925,2023.65903211,196.262867928
Caprica,Patrolling,1,9,179,0.00,3019.9524076,1970.50513005,258.318208694
Boomer,Patrolling,4,9,194,0.00,3149.10264158,1873.00751591,239.084167719
Caval,Patrolling,2,9,196,0.00,3131.4212749,1950.53686094,240.227787018
Hera,Patrolling,6,9,208,0.00,3421.10233307,1749.12382174,173.066470146
Sharon,Patrolling,0,9,202,0.00,3171.27897429,2023.65903211,196.262867928
Leoben,Patrolling,5,9,203,0.00,3331.23531604,1898.54823375,171.296111107
Caprica,Patrolling,1,9,189,0.00,3192.09448147,1970.50513005,258.318208694
Boomer,Patrolling,4,9,204,0.00,3332.06769156,1873.00751591,239.084167719
Hera,Patrolling,6,6,214,0.00,3421.10233307,1749.12382174,173.066470146
Boomer,Patrolling,4,0,204,0.00,3332.06769156,1873.00751591,239.084167719
Caval,Patrolling,2,9,206,0.00,3292.86768389,1950.53686094,240.227787018
Leoben,Patrolling,5,7,210,0.00,3331.23531604,1898.54823375,171.296111107
Hera,Charging,3,6,220,0.00,3523.14196706,1749.12382174,229.475394249
Leoben,Patrolling,6,0,210,0.00,3331.23531604,1898.54823375,171.296111107
Sharon,Patrolling,0,9,212,0.00,3338.28486037,2023.65903211,196.262867928
Caprica,Patrolling,1,9,199,0.00,3330.64755845,1970.50513005,258.318208694
Tigh,Charging,3,0,170,0.00,2781.52642393,2571.70400405,233.272228956
Leoben,Charging,3,0,210,0.00,3461.39549398,1898.54823375,227.57576108
Tigh,Patrolling,3,0,170,0.00,2781.52642393,2571.70400405,233.272228956
Boomer,Patrolling,5,7,211,0.00,3332.06769156,1873.00751591,239.084167719
Caval,Patrolling,2,9,216,0.00,3433.86603475,1950.53686094,240.227787018
Boomer,Charging,3,7,218,0.00,3495.9828856,1873.00751591,280.689588785
Anders,Charging,3,0,208,0.00,3482.03884745,1897.39390326,271.897773743
Anders,Patrolling,3,0,208,0.00,3482.03884745,1897.39390326,271.897773743
Hera,Patrolling,4,0,220,0.00,3523.14196706,1929.89716959,229.475394249
Sharon,Patrolling,0,8,220,0.00,3338.28486037,2023.65903211,196.262867928
Caprica,Patrolling,1,9,209,0.00,3487.55073047,1970.50513005,258.318208694
Sharon,Charging,3,8,228,0.00,3485.34651327,2023.65903211,243.515681028
Caprica,Patrolling,1,4,213,0.00,3487.55073047,1970.50513005,258.318208694
Hera,Patrolling,5,3,223,0.00,3523.14196706,1929.89716959,229.475394249
Caval,Patrolling,2,9,226,0.00,3616.56978464,1950.53686094,240.227787018
Caprica,Charging,3,4,217,0.00,3545.62007833,1970.50513005,291.5019207
Hera,Charging,3,0,223,0.00,3627.15603304,1929.89716959,275.071106434
Hera,Patrolling,3,0,223,0.00,3627.15603304,1929.89716959,275.071106434
Tigh,Patrolling,4,6,176,0.00,2781.52642393,2728.52789712,233.272228956
Caval,Patrolling,2,3,229,0.00,3616.56978464,1950.53686094,240.227787018
Caval,Charging,3,3,232,0.00,3684.01693249,1950.53686094,269.034773111
Boomer,Patrolling,2,0,218,0.00,3495.9828856,2171.22704577,280.689588785
Leoben,Patrolling,4,5,215,0.00,3461.39549398,2220.01743388,227.57576108
Tigh,Patrolling,5,9,186,0.00,3065.11393285,2728.52789712,233.272228956
Tigh,Patrolling,5,1,187,0.00,3065.11393285,2728.52789712,233.272228956
Boomer,Patrolling,1,9,228,0.00,3664.42090058,2171.22704577,280.689588785
Sharon,Charging,3,0,228,0.00,3488.91441107,2373.18060803,271.929512024
Sharon,Patrolling,3,0,228,0.00,3488.91441107,2373.18060803,271.929512024
Anders,Patrolling,2,7,215,0.00,3482.03884745,2250.85040307,271.897773743
Boomer,Patrolling,1,3,231,0.00,3664.42090058,2171.22704577,280.689588785
Leoben,Patrolling,5,9,225,0.00,3732.64668798,2220.01743388,227.57576108
Tigh,Patrolling,6,9,197,0.00,3230.3503418,2728.52789712,233.272228956
Anders,Patrolling,1,9,225,0.00,3783.55006552,2250.85040307,271.897773743
Leoben,Patrolling,5,9,235,0.00,3869.72347808,2220.01743388,227.57576108
Tigh,Patrolling,6,9,207,0.00,3360.5710299,2728.52789712,233.272228956
Boomer,Patrolling,0,9,241,0.00,3886.02886558,2171.22704577,280.689588785
Caprica,Patrolling,2,9,227,0.00,3679.13805032,2380.81751609,291.5019207
Hera,Patrolling,4,9,233,0.00,3805.13067603,2356.9357748,275.071106434
Tigh,Patrolling,6,6,213,0.00,3360.5710299,2728.52789712,233.272228956
Anders,Patrolling,1,9,235,0.00,3951.77974939,2250.85040307,271.897773743
Hera,Patrolling,4,2,235,0.00,3805.13067603,2356.9357748,275.071106434
Boomer,Patrolling,0,9,251,0.00,4028.41800642,2171.22704577,280.689588785
Leoben,Patrolling,5,8,243,0.00,3869.72347808,2220.01743388,227.57576108
Tigh,Charging,3,6,219,0.00,3502.69376588,2728.52789712,279.71013999
Caprica,Patrolling,2,9,237,0.00,3850.46084428,2380.81751609,291.5019207
Leoben,Patrolling,6,5,248,0.00,3869.72347808,2220.01743388,227.57576108
Caval,Patrolling,4,4,236,0.00,3684.01693249,2611.3499558,269.034773111
Boomer,Patrolling,0,9,261,0.00,4194.89077759,2171.22704577,280.689588785
Boomer,Patrolling,0,0,261,0.00,4194.89077759,2171.22704577,280.689588785
Hera,Patrolling,5,7,242,0.00,3805.13067603,2356.9357748,275.071106434
Caprica,Patrolling,2,9,247,0.00,3983.32841325,2380.81751609,291.5019207
Anders,Patrolling,1,9,245,0.00,4144.42379928,2250.85040307,271.897773743
Leoben,Charging,3,5,253,0.00,4164.06869411,2220.01743388,283.942389011
Anders,Patrolling,1,0,245,0.00,4144.42379928,2250.85040307,271.897773743
Boomer,Charging,3,0,261,0.00,4194.93788457,2171.22704577,338.877840757
Anders,Charging,3,0,245,0.00,4162.42243218,2250.85040307,305.597878695
Caprica,Patrolling,2,3,250,0.00,3983.32841325,2380.81751609,291.5019207
Caprica,Patrolling,1,4,254,0.00,3983.32841325,2380.81751609,291.5019207
Caval,Patrolling,5,9,246,0.00,3932.08181453,2611.3499558,269.034773111
Hera,Patrolling,6,9,252,0.00,4188.92153597,2356.9357748,275.071106434
Tigh,Patrolling,2,2,221,0.00,3502.69376588,2987.41722226,279.71013999
Sharon,Patrolling,4,9,238,0.00,3633.66719794,2940.42843604,271.929512024
Caprica,Patrolling,0,6,260,0.00,3983.32841325,2380.81751609,291.5019207
Leoben,Patrolling,2,2,255,0.00,4164.06869411,2441.83756781,283.942389011
Hera,Patrolling,6,8,260,0.00,4188.92153597,2356.9357748,275.071106434
Tigh,Patrolling,1,6,227,0.00,3502.69376588,2987.41722226,279.71013999
Caprica,Charging,3,6,266,0.00,4256.61202312,2380.81751609,338.761509657
Sharon,Patrolling,4,9,248,0.00,3764.53580403,2940.42843604,271.929512024
Caval,Patrolling,5,9,256,0.00,4103.00073147,2611.3499558,269.034773111
Hera,Charging,3,8,268,0.00,4322.10413194,2356.9357748,331.522304535
Caval,Patrolling,5,2,258,0.00,4103.00073147,2611.3499558,269.034773111
Sharon,Patrolling,4,6,254,0.00,3764.53580403,2940.42843604,271.929512024
Leoben,Patrolling,1,9,265,0.00,4403.82564807,2441.83756781,283.942389011
Tigh,Patrolling,0,9,237,0.00,3889.51952791,2987.41722226,279.71013999
Caval,Patrolling,6,9,268,0.00,4314.29922748,2611.3499558,269.034773111
Boomer,Patrolling,2,9,271,0.00,4404.5979526,2474.77399087,338.877840757
Sharon,Patrolling,5,9,264,0.00,4021.86330509,2940.42843604,271.929512024
Caval,Patrolling,6,2,270,0.00,4314.29922748,2611.3499558,269.034773111
Anders,Patrolling,4,7,252,0.00,4162.42243218,2638.95960712,305.597878695
Leoben,Patrolling,1,9,275,0.00,4539.85662103,2441.83756781,283.942389011
Sharon,Patrolling,5,3,267,0.00,4021.86330509,2940.42843604,271.929512024
Caval,Charging,3,2,272,0.00,4366.44622254,2611.3499558,315.459340096
Tigh,Patrolling,0,9,247,0.00,4029.45496297,2987.41722226,279.71013999
Boomer,Patrolling,2,9,281,0.00,4544.43001962,2474.77399087,338.877840757
Sharon,Patrolling,6,4,271,0.00,4021.86330509,2940.42843604,271.929512024
Anders,Patrolling,5,6,258,0.00,4162.42243218,2638.95960712,305.597878695
Tigh,Patrolling,0,9,257,0.00,4167.16834593,2987.41722226,279.71013999
Sharon,Charging,3,4,275,0.00,4192.51960206,2940.42843604,318.670721054
