Names,Status,Location,Laps,TotalLaps,Battery,ActiveTime,IdleTime,ReturnTime
Anders,Patrolling,0,9,10,0.00,198.050029039,19.0014090538,0
Boomer,Patrolling,1,9,10,0.00,193.974591017,93.6513979435,0
Caprica,Patrolling,2,9,10,0.00,151.802161932,150.282640934,0
Caval,Patrolling,6,9,10,0.00,192.510916948,189.462422132,0
Anders,Patrolling,0,9,20,0.00,366.499260902,19.0014090538,0
Boomer,Patrolling,1,9,20,0.00,329.702959061,93.6513979435,0
Hera,Patrolling,5,9,10,0.00,207.531989098,266.974985838,0
Caprica,Patrolling,2,9,20,0.00,346.035243034,150.282640934,0
Leoben,Patrolling,4,9,10,0.00,179.449872017,325.27432704,0
Caval,Patrolling,6,9,20,0.00,351.32565999,189.462422132,0
Anders,Patrolling,0,9,30,0.00,532.101614952,19.0014090538,0
Boomer,Patrolling,1,9,30,0.00,467.63689518,93.6513979435,0
Hera,Patrolling,5,9,20,0.00,354.912490129,266.974985838,0
Caprica,Patrolling,2,9,30,0.00,508.43758297,150.282640934,0
Anders,Patrolling,0,9,40,0.00,644.145961761,19.0014090538,0
Caval,Patrolling,6,9,30,0.00,489.610445976,189.462422132,0
Boomer,Patrolling,1,9,40,0.00,599.080374241,93.6513979435,0
Leoben,Patrolling,4,9,20,0.00,369.642343998,325.27432704,0
Anders,Patrolling,0,1,41,0.00,644.145961761,19.0014090538,0
Boomer,Patrolling,1,1,41,0.00,599.080374241,93.6513979435,0
Hera,Patrolling,5,9,30,0.00,464.449252129,266.974985838,0
Caprica,Patrolling,2,5,35,0.00,508.43758297,150.282640934,0
Anders,Charging,3,1,42,0.00,697.522126675,19.0014090538,47.3784089088
Boomer,Patrolling,0,1,42,0.00,599.080374241,93.6513979435,0
Boomer,Charging,3,1,43,0.00,671.421928167,93.6513979435,47.5738539696
Caprica,Patrolling,1,2,37,0.00,508.43758297,150.282640934,0
Leoben,Patrolling,4,9,30,0.00,505.275933027,325.27432704,0
Caval,Patrolling,6,9,40,0.00,661.514368057,189.462422132,0
Caprica,Patrolling,0,0,37,0.00,508.43758297,150.282640934,0
Sharon,Patrolling,2,3,3,0.00,0,792.531365871,0
Caval,Patrolling,6,2,42,0.00,661.514368057,189.462422132,0
Caprica,Charging,3,0,37,0.00,706.981142998,150.282640934,56.9956059456
Caval,Charging,3,2,44,0.00,684.054463863,189.462422132,46.5130620003
Sharon,Patrolling,1,4,7,0.00,0,792.531365871,0
Hera,Patrolling,5,9,40,0.00,691.911025286,266.974985838,0
Leoben,Patrolling,4,9,40,0.00,644.029536009,325.27432704,0
Hera,Patrolling,5,0,40,0.00,691.911025286,266.974985838,0
Tigh,Patrolling,2,4,4,0.00,0,918.993087053,0
Hera,Charging,3,0,40,0.00,709.926166058,266.974985838,32.569257021
Leoben,Patrolling,4,4,44,0.00,644.029536009,325.27432704,0
Leoben,Charging,3,4,48,0.00,702.30072093,325.27432704,21.1612079144
Boomer,Patrolling,4,0,43,0.00,671.421928167,368.401257038,47.5738539696
Sharon,Patrolling,0,9,17,0.00,325.42266202,792.531365871,0
Boomer,Patrolling,5,4,47,0.00,671.421928167,368.401257038,47.5738539696
Tigh,Patrolling,1,9,14,0.00,268.289920807,918.993087053,0
Caprica,Patrolling,4,2,39,0.00,706.981142998,384.722000122,56.9956059456
Sharon,Patrolling,0,9,27,0.00,443.364094019,792.531365871,0
Anders,Patrolling,2,9,52,0.00,929.494466543,302.180115938,47.3784089088
Tigh,Patrolling,1,9,24,0.00,446.996090889,918.993087053,0
Boomer,Patrolling,6,9,57,0.00,962.869595289,368.401257038,47.5738539696
Sharon,Patrolling,0,9,37,0.00,591.996696949,792.531365871,0
Caprica,Patrolling,5,9,49,0.00,952.161975145,384.722000122,56.9956059456
