Names, Status, Location, Laps, Total Laps, Battery, Active Time, Idle Time, Return Time
Anders, Patrolling, 0, 9, 10, 0.00, 208.944469929, 18.9419560432, 0
Boomer, Patrolling, 1, 9, 10, 0.00, 206.323815823, 92.2845380306, 0
Caprica, Patrolling, 2, 9, 10, 0.00, 157.343305826, 149.089935064, 0
Anders, Patrolling, 0, 9, 20, 0.00, 326.654896975, 18.9419560432, 0
Caval, Patrolling, 6, 9, 10, 0.00, 166.824813843, 188.845242977, 0
Hera, Patrolling, 5, 9, 10, 0.00, 153.148903131, 265.530828953, 0
Boomer, Patrolling, 1, 9, 20, 0.00, 346.354953766, 92.2845380306, 0
Caprica, Patrolling, 2, 9, 20, 0.00, 317.03237772, 149.089935064, 0
Leoben, Patrolling, 4, 9, 10, 0.00, 157.640575886, 321.761535883, 0
Anders, Patrolling, 0, 9, 30, 0.00, 500.891989946, 18.9419560432, 0
Caval, Patrolling, 6, 9, 20, 0.00, 347.065826893, 188.845242977, 0
Hera, Patrolling, 5, 9, 20, 0.00, 323.009192228, 265.530828953, 0
Leoben, Patrolling, 4, 9, 20, 0.00, 274.927708864, 321.761535883, 0
Boomer, Patrolling, 1, 9, 30, 0.00, 515.859915733, 92.2845380306, 0
Caval, Patrolling, 6, 9, 30, 0.00, 458.723307848, 188.845242977, 0
Caprica, Patrolling, 2, 9, 30, 0.00, 507.052276611, 149.089935064, 0
Anders, Patrolling, 0, 9, 40, 0.00, 651.683007002, 18.9419560432, 0
Hera, Patrolling, 5, 9, 30, 0.00, 466.310741186, 265.530828953, 0
Leoben, Patrolling, 4, 9, 30, 0.00, 411.434602976, 321.761535883, 0
Caval, Patrolling, 6, 9, 40, 0.00, 587.793639898, 188.845242977, 0
Leoben, Patrolling, 4, 9, 40, 0.00, 463.072762966, 321.761535883, 0
Boomer, Patrolling, 1, 9, 40, 0.00, 694.190981627, 92.2845380306, 0
Caprica, Patrolling, 2, 9, 40, 0.00, 681.156312466, 149.089935064, 0
Anders, Patrolling, 0, 9, 50, 0.00, 820.032934904, 18.9419560432, 0
Caval, Patrolling, 6, 9, 50, 0.00, 690.351037025, 188.845242977, 0
Hera, Patrolling, 5, 9, 40, 0.00, 642.41488719, 265.530828953, 0
Leoben, Patrolling, 4, 9, 50, 0.00, 611.652890921, 321.761535883, 0
Boomer, Patrolling, 1, 9, 50, 0.00, 861.757739782, 92.2845380306, 0
Anders, Patrolling, 0, 9, 60, 0.00, 974.947247982, 18.9419560432, 0
Caval, Patrolling, 6, 9, 60, 0.00, 818.493324995, 188.845242977, 0
Caprica, Patrolling, 2, 9, 50, 0.00, 859.700183392, 149.089935064, 0
Hera, Patrolling, 5, 9, 50, 0.00, 750.994951248, 265.530828953, 0
Boomer, Patrolling, 1, 9, 60, 0.00, 1014.01288581, 92.2845380306, 0
