Names, Status, Location, Laps, Total Laps, Battery, Active Time, Idle Time, Return Time
Anders, Patrolling, 5, 9, 10, 0.00, 201.731226921, 21.0174298286, 0
Boomer, Patrolling, 1, 9, 10, 0.00, 178.905524015, 76.4975259304, 0
Caprica, Patrolling, 4, 9, 10, 0.00, 148.960828066, 135.126886845, 0
Caval, Patrolling, 2, 9, 10, 0.00, 168.668050051, 173.254267931, 0
Caprica, Patrolling, 4, 9, 20, 0.00, 209.776900053, 135.126886845, 0
Caprica, Patrolling, 4, 9, 30, 0.00, 256.279457092, 135.126886845, 0
Anders, Patrolling, 5, 9, 20, 0.00, 381.208998919, 21.0174298286, 0
Boomer, Patrolling, 1, 9, 20, 0.00, 342.594968081, 76.4975259304, 0
Caprica, Patrolling, 4, 9, 40, 0.00, 299.782469034, 135.126886845, 0
Caprica, Patrolling, 4, 9, 50, 0.00, 338.287033081, 135.126886845, 0
Caval, Patrolling, 2, 9, 20, 0.00, 323.910368919, 173.254267931, 0
Anders, Patrolling, 5, 9, 30, 0.00, 558.536329031, 21.0174298286, 0
Anders, Patrolling, 5, 0, 30, 0.00, 558.536329031, 21.0174298286, 0
Boomer, Patrolling, 1, 9, 30, 0.00, 510.639168024, 76.4975259304, 0
Boomer, Patrolling, 1, 2, 32, 0.00, 510.639168024, 76.4975259304, 0
Anders, Charging, 3, 0, 30, 0.00, 558.536444902, 21.0174298286, 41.4879419804
Boomer, Charging, 3, 2, 34, 0.00, 543.506884813, 76.4975259304, 42.3663649559
Caval, Patrolling, 2, 9, 30, 0.00, 493.184819937, 173.254267931, 0
Caval, Patrolling, 2, 4, 34, 0.00, 493.184819937, 173.254267931, 0
